id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ để xử lý và khắc phục sự cố [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"All information in the answer is directly supported by the context, specifically regarding the SLA for ticket P1, which states a 15-minute initial response and a 4-hour resolution time.",5,"The answer directly addresses the user query by providing specific details about the SLA for handling P1 tickets, including both the initial response time and the time for resolution, which fully satisfies the question asked.",5,Retrieved: 1/1 expected sources,5,"The Model Answer accurately captures all key points from the Expected Answer, including the initial response time of 15 minutes and the resolution time of 4 hours, while also maintaining clarity and completeness.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"All information in the answer is directly supported by the context, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is explicitly mentioned in the retrieved context.",5,"The answer directly addresses the user's query by specifying that customers can request a refund within 7 working days from the order confirmation, which fully answers the question asked.",5,Retrieved: 1/1 expected sources,5,"The Model Answer fully covers all key points and nuances present in the Expected Answer, including the time frame of 7 working days from the order confirmation. The addition of a reference marker does not detract from its completeness.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"All information in the answer is directly supported by the context. The answer correctly states that Level 3 access requires approval from the Line Manager, IT Admin, and IT Security, which is explicitly mentioned in the retrieved context.",5,"The answer directly addresses the user query by specifying who must approve the granting of Level 3 access, listing all relevant parties involved in the approval process.",5,Retrieved: 1/1 expected sources,5,"The Model Answer includes all key points from the Expected Answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security, which aligns perfectly with the requirements for Level 3 access.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,"The answer states that digital products are non-refundable unless there is a manufacturing defect and other conditions are met. However, the context explicitly states that digital products are non-refundable without exceptions, which contradicts the answer. Therefore, the answer is not faithful to the context.",5,"The answer directly addresses the user's query about whether digital products can be refunded, stating that they generally cannot be refunded unless there is a manufacturer error and other conditions are met. This fully covers the question asked.",5,Retrieved: 1/1 expected sources,3,"The Model Answer conveys the main idea that digital products are generally non-refundable, but it introduces an exception regarding manufacturer errors and additional conditions, which is not mentioned in the Expected Answer. This leads to a lack of completeness as it misses the clear statement that digital products are non-refundable as a general rule without exceptions.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"All information in the answer is directly supported by the context, including the number of failed login attempts that lead to account lock and the methods to unlock the account.",5,"The answer directly addresses the user's query about how many times a user can attempt to log in before their account is locked, providing the specific number (5 times) and additional relevant information on how to unlock the account.",5,Retrieved: 1/1 expected sources,5,"The Model Answer fully addresses the user query by stating that the account is locked after 5 consecutive failed login attempts, which is the key point in the Expected Answer. Additionally, it provides extra information on how to unlock the account, which enhances the completeness of the response.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, thông báo cho stakeholder được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi sự cố được giải quyết [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"All information in the answer is directly supported by the context. It accurately describes the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes and the notification process for stakeholders.",5,"The answer directly addresses the user query about how escalation occurs in a P1 incident, detailing the automatic escalation to a Senior Engineer after 10 minutes of no response and the notification process for stakeholders.",5,Retrieved: 1/1 expected sources,5,"The Model Answer covers all key points from the Expected Answer, including the automatic escalation to a Senior Engineer after 10 minutes without response. Additionally, it provides extra relevant information about notifying stakeholders and updating them every 30 minutes, which enhances the completeness of the response.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"All information in the answer is directly supported by the context, specifically referencing the document's purpose and its applicability to employees, contractors, and third-party vendors as stated in Section 1.",5,"The answer directly addresses the user query by clearly defining what an Approval Matrix for granting system access is, including its purpose and applicability to employees, contractors, and third-party vendors.",5,Retrieved: 1/1 expected sources,2,The Model Answer provides a general description of the Approval Matrix but fails to mention the current name change to 'Access Control SOP' and does not reference the specific document name. It misses the key point of the expected answer regarding the updated title of the document.,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"All information in the answer is directly supported by the context. It accurately states that employees can work remotely for a maximum of 2 days per week after the probation period and that the remote schedule must be approved by the Team Lead through the HR Portal, as specified in the retrieved context.",5,"The answer directly addresses the user's query about the maximum number of remote work days per week, providing specific details about the 2-day limit and the requirement for approval, which fully satisfies the question.",5,Retrieved: 1/1 expected sources,5,"The Model Answer covers all key points from the Expected Answer, including the maximum number of remote days (2), the condition of having completed the probation period, and the requirement for approval from the Team Lead. Additionally, it specifies the approval process through the HR Portal, which adds clarity without detracting from the original information.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết về lỗi ERR-403-AUTH và cách xử lý. Bạn nên liên hệ với bộ phận hỗ trợ để được trợ giúp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer does not contain any information from the retrieved context and introduces a specific error code (ERR-403-AUTH) that is not mentioned in the context. It also suggests contacting support, which is not supported by any details in the context provided.",1,"The answer does not provide any information about the ERR-403-AUTH error or how to handle it, making it completely irrelevant to the user's query.",,No expected sources,2,"The Model Answer misses the key point about ERR-403-AUTH potentially being related to authentication and does not mention the lack of information in existing documentation. It also fails to provide any specific guidance on contacting IT Helpdesk, which is a crucial part of the Expected Answer.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Bạn nên liên hệ với bộ phận hỗ trợ để biết thêm chi tiết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which contradicts the context provided. The context does not mention anything about VIP customers or an emergency refund process, making the answer misleading and unsupported by the retrieved context.",3,"The answer acknowledges the lack of specific information regarding the emergency refund process for VIP customers, which is relevant to the query. However, it does not provide any guidance or alternative solutions, making it less comprehensive in addressing the user's question.",5,Retrieved: 1/1 expected sources,2,"The Model Answer misses the key point that the policy does not mention a special process for VIP customers and does not provide the standard timeline of 3-5 working days for all refund requests. It only suggests contacting support for more details, which does not address the user's query adequately.",variant_hybrid
