id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý và khắc phục (resolution) cho ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer states that the SLA for P1 resolution is 4 hours, which is directly and explicitly mentioned in the context under 'Ticket P1: - Xử lý và khắc phục (resolution): 4 giờ'.",5,The answer directly and fully addresses the user's question by stating the exact SLA duration for P1 tickets.,5,Retrieved: 1/1 expected sources,3,The actual answer only provides the resolution SLA (4 hours) for P1 tickets. It completely misses the initial response SLA (15 minutes) which is a distinct and important part of the expected answer's completeness regarding P1 SLAs.,variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1, 2].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer 'Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng' is directly stated in the context under 'Hoàn tiền — Điều kiện áp dụng' and also partially under the general conditions (though the general conditions specify '7 ngày làm việc', the '7 ngày' part is consistent).",5,The answer directly and fully addresses the question by stating the exact number of days (7 days) within which a refund can be requested.,5,Retrieved: 1/1 expected sources,3,"The actual answer is mostly correct but misses a critical detail: the specification of 'làm việc' (working) days. The expected answer states '7 ngày làm việc' (7 working days), while the actual answer only says '7 ngày' (7 days). This omission changes the precise condition for the refund period, as '7 days' could imply calendar days, which is different from '7 working days'.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Line Manager, IT Admin và IT Security phải phê duyệt để cấp quyền Level 3 [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately states the approval requirements for Level 3 access, which is directly supported by the context under 'Level 3 — Elevated Access: Phê duyệt: Line Manager + IT Admin + IT Security'.",5,The answer directly and fully addresses the user's question by listing the specific roles required for Level 3 approval.,5,Retrieved: 1/1 expected sources,5,"The actual answer identifies all three key roles (Line Manager, IT Admin, và IT Security) mentioned in the expected answer as required for Level 3 approval. The phrasing conveys the same meaning, and the omission of '(Elevated Access)' is a minor detail that does not impact the completeness of the answer to 'who' needs to approve.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Sản phẩm thuộc danh mục hàng kỹ thuật số không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer directly states a condition for non-refundability explicitly mentioned in the 'Ngoại lệ không được hoàn tiền' section of the context: 'Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)'.",5,The answer directly and fully addresses the user's question about whether digital products are refundable by stating that they are not.,5,Retrieved: 1/1 expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer 'Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp' is directly and entirely extracted from the context under the question 'Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?'.,5,The answer directly and fully addresses the question by stating the exact number of incorrect login attempts (5) that lead to an account lock.,5,Retrieved: 1/1 expected sources,5,"The actual answer is identical to the expected answer, covering all key information and conditions. The addition of a citation does not affect its completeness.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1 khẩn cấp, quy trình escalation diễn ra như sau [1]:
1.  On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2.  Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3.  Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer is entirely grounded in the provided context. Every point in the answer, including the introductory sentence linking escalation to P1 incidents and the three steps of the emergency escalation process, is directly extracted or accurately paraphrased from the 'Quy trình escalation khẩn cấp' section and the example given for escalation applicability.",5,"The answer directly and fully addresses the question by outlining the specific steps of the escalation process for a P1 incident, including temporary access, formal ticketing, and logging requirements.",5,Retrieved: 1/1 expected sources,1,"The actual answer describes an escalation process related to granting temporary access and its conditions, which is completely different from the expected answer. The expected answer details the automatic escalation of a P1 ticket to a Senior Engineer if there's no response within 10 minutes. The actual answer misses all key points regarding who the ticket escalates to, the trigger (no response), and the timeframe (10 minutes).",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tôi không biết. Thông tin về tài liệu ""Approval Matrix"" để cấp quyền hệ thống không có trong ngữ cảnh được cung cấp.",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),5,Retrieved: 1/1 expected sources,1,"The actual answer states that it does not know the information and that it's not in the provided context, completely failing to provide any of the key details (document name, new name, filename) present in the expected answer. It misses all critical information.",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer is directly extracted from the provided context under section '4.1 Điều kiện remote'.,5,The answer directly and fully addresses the question by stating the maximum number of remote days per week (2 days) and provides a relevant condition (after probation period).,5,Retrieved: 1/1 expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết vì thông tin này không có trong ngữ cảnh được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",,LLM Judge Error: Unterminated string starting at: line 1 column 24 (char 23),,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),,No expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Dựa trên ngữ cảnh được cung cấp, không có thông tin nào cho thấy quy trình hoàn tiền khẩn cấp cho khách hàng VIP là khác biệt so với quy trình tiêu chuẩn [2].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer accurately states that the provided context does not contain any information regarding an 'urgent refund process' or 'VIP customers', nor does it suggest any differentiation in the refund process for such cases. This statement is entirely grounded in the absence of information within the given context.",5,"The answer directly and fully addresses the user's question by stating that, based on the provided context, there is no information indicating a different process for VIP customers' urgent refunds.",5,Retrieved: 1/1 expected sources,,LLM Judge Error: Unterminated string starting at: line 4 column 13 (char 29),variant_hybrid
